real	0m0.144s
real	0m0.116s
real	0m0.113s
real	0m0.127s
real	0m0.140s
real	0m0.131s
real	0m0.127s
real	0m0.112s
real	0m0.112s
real	0m0.168s
real	0m0.177s
real	0m0.115s
real	0m0.115s
real	0m0.137s
real	0m0.146s
real	0m0.204s
real	0m0.208s
real	0m0.211s
real	0m0.230s
real	0m0.203s
real	0m0.199s
real	0m0.163s
real	0m0.149s
real	0m0.145s
real	0m0.136s
real	0m0.137s
real	0m0.150s
real	0m0.147s
real	0m0.141s
real	0m0.151s
real	0m0.224s
real	0m0.159s
real	0m0.157s
real	0m0.150s
real	0m0.162s
real	0m0.157s
real	0m0.150s
real	0m0.134s
real	0m0.138s
real	0m0.146s
real	0m0.157s
real	0m0.171s
real	0m0.147s
real	0m0.145s
real	0m0.147s
real	0m0.140s
real	0m0.142s
real	0m0.166s
real	0m0.149s
real	0m0.132s
real	0m0.167s
real	0m0.238s
real	0m0.150s
real	0m0.155s
real	0m0.149s
real	0m0.220s
real	0m0.157s
real	0m0.161s
real	0m0.159s
real	0m0.150s
real	0m0.153s
real	0m0.137s
real	0m0.144s
real	0m0.160s
real	0m0.173s
real	0m0.183s
real	0m0.153s
real	0m0.154s
real	0m0.157s
real	0m0.152s
real	0m0.166s
real	0m0.166s
real	0m0.165s
real	0m0.169s
real	0m0.212s
real	0m0.199s
real	0m0.197s
real	0m0.153s
real	0m0.163s
real	0m0.203s
real	0m0.160s
real	0m0.168s
real	0m0.220s
real	0m0.148s
real	0m0.180s
real	0m0.142s
real	0m0.137s
real	0m0.219s
real	0m0.184s
real	0m0.147s
real	0m0.183s
real	0m0.164s
real	0m0.161s
real	0m0.190s
real	0m0.162s
real	0m0.208s
real	0m0.180s
real	0m0.200s
real	0m0.162s
real	0m0.124s
