real	0m0.139s
real	0m0.161s
real	0m0.130s
real	0m0.135s
real	0m0.167s
real	0m0.113s
real	0m0.120s
real	0m0.103s
real	0m0.111s
real	0m0.144s
real	0m0.144s
real	0m0.109s
real	0m0.112s
real	0m0.128s
real	0m0.147s
real	0m0.190s
real	0m0.183s
real	0m0.227s
real	0m0.181s
real	0m0.192s
real	0m0.185s
real	0m0.193s
real	0m0.188s
real	0m0.166s
real	0m0.153s
real	0m0.133s
real	0m0.159s
real	0m0.145s
real	0m0.133s
real	0m0.153s
real	0m0.179s
real	0m0.170s
real	0m0.159s
real	0m0.156s
real	0m0.158s
real	0m0.142s
real	0m0.138s
real	0m0.136s
real	0m0.143s
real	0m0.146s
real	0m0.127s
real	0m0.161s
real	0m0.144s
real	0m0.157s
real	0m0.151s
real	0m0.146s
real	0m0.142s
real	0m0.169s
real	0m0.159s
real	0m0.138s
real	0m0.149s
real	0m0.245s
real	0m0.157s
real	0m0.156s
real	0m0.153s
real	0m0.200s
real	0m0.183s
real	0m0.176s
real	0m0.171s
real	0m0.157s
real	0m0.165s
real	0m0.132s
real	0m0.150s
real	0m0.161s
real	0m0.152s
real	0m0.158s
real	0m0.151s
real	0m0.163s
real	0m0.160s
real	0m0.158s
real	0m0.171s
real	0m0.193s
real	0m0.182s
real	0m0.164s
real	0m0.166s
real	0m0.205s
real	0m0.170s
real	0m0.198s
real	0m0.174s
real	0m0.165s
real	0m0.145s
real	0m0.150s
real	0m0.148s
real	0m0.174s
real	0m0.156s
real	0m0.190s
real	0m0.155s
real	0m0.152s
real	0m0.173s
real	0m0.153s
real	0m0.149s
real	0m0.180s
real	0m0.161s
real	0m0.164s
real	0m0.155s
real	0m0.162s
real	0m0.179s
real	0m0.175s
real	0m0.146s
real	0m0.143s
